outward_voyage_id,counts,voydepartureY
91968,40.0,1656.0
91969,22.0,1656.0
91970,19.0,1656.0
91971,64.0,1656.0
91972,356.0,1656.0
91973,30.0,1656.0
91974,21.0,1656.0
91975,252.0,1656.0
91976,36.0,1656.0
91977,212.0,1656.0
91978,58.0,1656.0
91979,383.0,1656.0
91980,411.0,1656.0
91981,387.0,1656.0
91982,230.0,1656.0
91983,256.0,1656.0
91984,76.0,1656.0
91985,333.0,1656.0
91986,230.0,1657.0
91987,152.0,1657.0
91988,38.0,1657.0
91989,230.0,1657.0
91990,326.0,1657.0
91991,319.0,1657.0
91992,279.0,1657.0
91993,343.0,1657.0
91994,74.0,1657.0
91995,157.0,1657.0
91996,324.0,1657.0
91997,313.0,1657.0
91998,327.0,1657.0
91999,150.0,1657.0
92000,79.0,1657.0
92001,368.0,1657.0
92002,230.0,1658.0
92003,172.0,1658.0
92004,179.0,1658.0
92005,259.0,1658.0
92006,361.0,1658.0
92007,160.0,1658.0
92008,142.0,1658.0
92009,144.0,1658.0
92010,38.0,1658.0
92011,355.0,1658.0
92012,67.0,1658.0
92013,71.0,1658.0
92014,396.0,1658.0
92015,394.0,1658.0
92016,28.0,1658.0
92017,162.0,1658.0
92018,129.0,1658.0
92019,95.0,1658.0
92020,175.0,1658.0
91820,230.0,1659.0
92021,64.0,1659.0
92022,347.0,1659.0
92023,436.0,1659.0
92024,198.0,1659.0
92025,364.0,1659.0
92026,358.0,1659.0
92027,409.0,1659.0
92028,283.0,1659.0
92029,209.0,1659.0
92030,358.0,1659.0
92031,230.0,1659.0
92032,192.0,1659.0
92033,157.0,1659.0
92034,220.0,1659.0
92035,121.0,1659.0
92036,401.0,1659.0
92037,299.0,1660.0
92038,21.0,1660.0
92039,302.0,1660.0
92040,334.0,1660.0
92041,366.0,1660.0
92042,139.0,1660.0
92043,56.0,1660.0
92044,146.0,1660.0
92045,371.0,1660.0
92046,66.0,1660.0
92047,94.0,1660.0
92048,384.0,1660.0
92049,204.0,1660.0
92050,299.0,1660.0
92051,162.0,1661.0
92052,95.0,1661.0
92053,325.0,1661.0
92054,138.0,1661.0
92055,427.0,1661.0
92056,374.0,1661.0
92057,369.0,1661.0
92058,176.0,1661.0
92059,242.0,1661.0
92060,247.0,1661.0
92061,258.0,1661.0
92062,241.0,1661.0
92063,254.0,1661.0
92064,361.0,1661.0
92065,320.0,1661.0
92066,20.0,1661.0
92067,342.0,1661.0
92068,348.0,1661.0
92069,103.0,1661.0
92070,390.0,1661.0
92071,351.0,1661.0
92072,351.0,1661.0
92073,353.0,1661.0
92074,163.0,1662.0
92075,51.0,1662.0
92076,103.0,1662.0
92077,251.0,1662.0
92078,33.0,1662.0
92079,165.0,1662.0
92080,205.0,1662.0
92081,175.0,1662.0
92082,334.0,1662.0
92083,370.0,1662.0
92084,218.0,1662.0
92085,265.0,1662.0
92086,260.0,1662.0
92087,230.0,1662.0
92088,240.0,1662.0
92089,382.0,1662.0
92090,279.0,1662.0
92091,230.0,1662.0
92092,86.0,1662.0
92093,55.0,1662.0
92094,332.0,1662.0
92095,22.0,1662.0
92096,113.0,1662.0
92097,154.0,1662.0
92098,173.0,1662.0
92099,61.0,1662.0
92100,63.0,1662.0
92101,194.0,1662.0
92102,75.0,1662.0
92103,307.0,1662.0
92104,117.0,1663.0
92105,245.0,1663.0
92106,113.0,1663.0
92107,211.0,1663.0
92108,167.0,1663.0
92109,185.0,1663.0
92110,53.0,1663.0
92111,56.0,1663.0
92112,52.0,1663.0
92113,140.0,1663.0
92114,161.0,1663.0
92115,57.0,1663.0
92116,63.0,1663.0
92117,220.0,1663.0
92118,163.0,1663.0
92119,168.0,1663.0
92120,159.0,1663.0
92121,267.0,1663.0
92122,281.0,1663.0
92123,162.0,1663.0
92124,58.0,1663.0
92125,126.0,1663.0
92126,285.0,1663.0
92127,170.0,1663.0
92128,228.0,1664.0
92129,246.0,1664.0
92130,207.0,1664.0
92131,91.0,1664.0
92132,243.0,1664.0
92133,23.0,1664.0
92134,14.0,1664.0
92135,13.0,1664.0
92136,14.0,1664.0
92137,13.0,1664.0
92138,265.0,1664.0
92139,202.0,1664.0
92140,16.0,1664.0
92141,264.0,1664.0
92142,15.0,1664.0
92143,259.0,1664.0
92144,150.0,1664.0
92145,200.0,1664.0
92146,273.0,1664.0
92147,16.0,1665.0
92148,16.0,1665.0
92149,18.0,1665.0
